alim_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Glucose (g/100 g);Alcool (g/100 g)
Lait fermenté à boire, nature, maigre;141;33,6;3,44;2,18;0,6;2,18;< 0,1;0
Lait fermenté à boire, nature, au lait entier;232;55,7;3,31;1,99;3,2;1,99;< 0,1;0
Yaourt à la grecque, nature;-;-;3,25;4,21;9,22;3,9;-;0
Yaourt à la grecque, aromatisé, sucré;-;-;4,2;12,8;8,2;12,6;-;0
Kéfir de lait;-;-;3,13;4,5;3,5;3,62;< 0,02;0
Yaourt au lait de brebis, nature, 6% MG environ;-;-;5,04;4,56;6,08;2,8;-;0
Fromage blanc nature ou aux fruits (aliment moyen);368;87,7;6,95;5,68;4,31;5;0,071;0
Fromage frais type petit suisse, aromatisé chocolat, sucré;-;-;3,87;20,9;5,18;18,9;-;0
Faisselle au coulis de fruits;-;-;3,5;8,5;5;8,5;0,72;0
Faisselle, 0% MG;-;-;4,38;4,44;0;3,99;-;0
Faisselle, 6% MG environ;351;84,2;4,38;3,57;5,5;3,57;< 0,2;0
Fromage blanc et crème fouettée sur lit de fruits, sucré;-;-;4,5;16;7;15;1,1;0
Fromage blanc nature, 0% MG;210;49,4;7,78;3,89;0,044;3,89;0,025;0
Fromage blanc nature, 0% MG, enrichi en vitamine D;-;-;7,4;5;0,1;5;-;0
Fromage blanc nature, 3% MG environ;323;76,9;7,86;3,46;3,26;3,46;< 0,2;0
Fromage blanc nature, 3% MG environ, au bifidus;-;-;7,04;3,94;3,28;3,88;-;0
Fromage blanc nature, 3% MG environ, enrichi en vitamine D;-;-;6,9;5,4;3,2;5,4;-;0
Fromage blanc nature, gourmand, 8% MG environ;485;116;6,07;5,25;7,65;3,33;0,0017;0
Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ;-;-;6,75;3,74;10,2;3,68;-;0
Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG;-;-;6,98;12,5;< 0,025;12,2;-;0
Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ;-;-;6,26;13,1;2,65;12,4;-;0
Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ, au bifidus;-;-;5,47;14;3,2;13,8;-;0
Fromage blanc ou spécialité laitière, aux copeaux de chocolat, sucré, 7% MG environ;-;-;5,23;16,2;5,97;15,5;-;0
Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 0% MG;-;-;6,11;6,76;0,12;6,19;-;0
Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG;-;-;7,77;13,5;traces;12;-;0
Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ;-;-;5,13;14,7;3,31;14,3;-;0
Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ, au bifidus;-;-;5,25;13,5;2,98;12,8;-;0
Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ;-;-;5,08;13,4;5,53;12,5;0,77;0
Fromage frais type petit suisse, aux fruits, 2-3% MG;390;92,7;6,56;9,34;2,8;9,3;0,8;0
Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D;-;-;6,29;12,2;2,63;10,9;-;0
Fromage frais type petit suisse, nature, 0% MG;-;-;9,69;3,8;0,24;3,2;-;0
Fromage frais type petit suisse, nature, 4% MG environ;373;88,8;9,75;2,84;4;2,84;< 0,1;0
Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D;-;-;6,35;6;0,45;5,05;-;0
Fromage frais type petit suisse, nature, 10% MG environ;621;149;9,5;3,17;10,4;3,17;< 0,1;0
Fromage frais type petit suisse, aromatisé ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D;381;90,4;5,63;10,2;2,5;10,1;0,6;0
Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ;-;-;3,1;12,2;2,5;11,9;-;0
Crème dessert, allégée en MG, rayon frais;334;79,2;3,56;12,4;1,3;11,8;0,18;0
Flan aux oeufs, rayon frais;467;111;4;18,5;2,2;16;0,27;0
Lait emprésuré aromatisé, rayon frais;-;-;5,52;17,6;2,5;16,5;0;0
Lait gélifié aromatisé, nappé caramel, rayon frais;388;91,9;2,5;16,7;1,3;14,5;2,28;0
Lait gélifié aromatisé, rayon frais;-;-;3,32;19,5;3,53;17,6;0,096;0
Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais;-;-;2,94;18,8;5,78;15,6;0,7;0
Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais;-;-;4,08;11,8;1,08;10,1;-;0
Panna cotta, avec préparations de fruits ou caramel, rayon frais;826;198;2,69;14,9;13;14,7;1,15;-
Gâteau de semoule aux raisins et caramel, rayon frais;615;146;3,81;24,8;3,4;19,2;2,73;0
Gâteau de riz au caramel, rayon frais;604;143;3,19;25,4;3,1;15,7;1,61;0
Milk-shake, provenant de fast food;530;126;3,32;17,4;4,66;13,6;1,2;0
Crème dessert au chocolat, rayon frais;546;130;3,32;19,9;3,93;16,5;0,62;0
Mousse au chocolat (base laitière), rayon frais;631;150;5,31;21,3;4,4;18,9;0,13;0
Crème caramel, rayon frais;558;132;4,35;20,6;3,6;18;1,64;0
Crème aux oeufs (petit pot de crème chocolat, vanille, etc.), rayon frais;736;176;4,23;19,4;8,88;16,4;0,14;0
Riz au lait, rayon frais;532;126;3,27;21,4;3,01;13;0,64;0
Crème brûlée, rayon frais;1130;272;4,37;16,6;20,8;15,6;0,42;0
Crème dessert à la vanille, appertisée;558;132;3,63;21,1;3,62;16;-;0
Ile flottante, rayon frais;543;129;4,87;19,8;3,31;17,9;1,21;0
Semoule au lait, rayon frais;511;121;3,39;19,4;3,23;14;1,25;0
Mousse aux fruits, rayon frais;225;53,1;6,13;5,51;< 0,3;4,31;0,25;0
Crème dessert à la vanille, rayon frais;443;105;3;14,4;3,6;14,2;< 0,1;0
Crème dessert, rayon frais (aliment moyen);558;133;3,35;17,9;5,1;15,7;0,62;0
Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais;779;186;3,55;20;10,1;18,3;-;0
Crème dessert au café, rayon frais;488;116;2,87;17,8;3,69;14;0,23;0
Crème dessert au caramel, rayon frais;494;117;2,86;18,6;3,47;15,9;3,38;0
Crème dessert, appertisée (aliment moyen);569;135;3,42;21,4;3,52;16,4;;0
Crème dessert au chocolat, appertisée;580;138;3,18;21,8;3,42;16,8;0,26;0
Crème dessert, rayon frais ou appertisée (aliment moyen);558;133;3,35;18;5,07;15,7;0,61;0
Cheesecake ou Gâteau au fromage frais, préemballé;1380;330;4,57;31,7;20,3;21,6;0,5;0
Tiramisu, préemballé;1010;241;4,25;30,4;9,8;19,5;1;1,6
Mousse à la crème de marrons, préemballée;872;207;2,13;34,4;6,5;28,3;0,52;0
Profiteroles (crème pâtissière et sauce chocolat), préemballées;1150;273;5,51;34,3;12,2;20,9;3,3;0
Gâteau de semoule, appertisé;634;150;2,85;27,4;3,03;-;1,4;0
Mousse au chocolat traditionnelle, préemballée;1260;303;6,39;25,6;18,6;21,5;-;0
Clafoutis aux fruits, préemballé;806;192;5,11;27,2;6,51;21,4;1,49;0
Liégeois aux fruits, préemballé;612;147;1,5;16;8,1;15,1;1,79;0
Gâteau de riz, appertisé;484;115;4,2;20;1,9;12;-;0
Fondant au chocolat noir et crème anglaise, préemballé;-;-;5,05;20;14,3;-;< 0,1;0
Gâteau au chocolat, coeur fondant, préemballé (rayon frais);1520;364;6,86;41,9;18,1;30,9;-;0
Pain perdu;916;218;6;29;8,45;13,3;-;0
Lait de poule, sans alcool;368;87,8;4,46;8,05;4,19;8,05;0,07;0
Crème pâtissière;504;120;3,79;18;3,6;15,3;traces;0
Dessert au soja, aux fruits, sucré, enrichi en calcium, fermenté, préemballé;366;86,7;3;12,9;2,3;11,6;2,08;0
Dessert au soja, nature, non sucré, non enrichi, fermenté, préemballé;188;44,7;4,13;2,05;1,9;0,69;0,15;0
Dessert au soja, nature, non sucré, enrichi en calcium, fermenté, préemballé;176;42;3,94;1,1;2,1;0,27;0,27;0
Dessert au soja, aux fruits, sucré, non enrichi, fermenté, préemballé;329;78;3,63;11;1,7;10,6;1,76;0
Dessert au soja, aux amandes, fermenté, préemballé;234;56;4;2,85;2,8;1,09;< 0,1;0
Dessert au soja, aromatisé, sucré, enrichi en calcium, préemballé;401;95;3,56;15,3;1,9;13,2;0,33;0
Dessert au soja, aromatisé, sucré, non enrichi, préemballé;393;93,1;3;16;1,7;12,5;0,2;0
Dessert végétal sans soja (amande, avoine, chanvre, coco, riz), aromatisé, sucré, non enrichi, préemballé;617;148;2;15,8;8;12,4;0,29;0
Dessert végétal sans soja (coco, riz), aux fruits, sucré, enrichi en calcium, fermenté, préemballé;324;76,6;< 0,5;16;1;10,8;2,66;0
Mousse au chocolat végétale, préemballée;1090;262;6,69;24,3;14;23,1;0,14;0
Fromage (aliment moyen);1400;338;21,3;0,56;27,4;0,27;0,071;0
Camembert, sans précision;1160;280;19,1;traces;22,5;traces;< 0,1;0
Fromage à pâte molle et croûte fleurie (type camembert);1490;359;17,1;traces;32,3;-;0,24;0
Camembert au lait cru;1110;267;20,3;traces;20,3;< 0,2;< 0,2;0
Fromage à pâte molle et croûte fleurie double crème environ 30% MG;1380;333;17,2;traces;29,4;-;0,25;0
Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse;725;173;22,2;traces;9,3;traces;< 0,1;0
Coulommiers;1160;279;18,4;traces;22,8;0;-;0
Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse;781;187;22;traces;11;0;-;0
Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse;632;150;25,2;traces;5,5;-;-;0
Brie, sans précision;1230;297;16,9;traces;25,5;0;< 0,2;0
Brie de Meaux;1130;271;21;traces;20,7;< 0,2;< 0,2;0
Brie de Melun;1200;288;21,6;traces;22,2;< 0,2;< 0,2;0
Carré de l'Est;1360;327;21;traces;27;0;-;0
Chaource;1140;276;17;traces;22,9;< 0,2;< 0,2;0
Maroilles laitier;1400;338;21,8;traces;27,8;-;< 0,01;0
Maroilles fermier;1450;349;20,8;traces;29,5;-;< 0,02;0
Neufchâtel;1190;287;18,1;traces;23,9;-;0;0
Fromage à pâte molle triple crème environ 40% MG;1550;376;9,69;traces;37,5;0;-;0
Fromage à pâte molle et croûte lavée (aliment moyen);1320;320;20,2;0;26,5;0,021;0,058;0
Fromage à pâte molle et croûte lavée, allégé environ 13% MG;825;198;21,2;traces;12,6;-;-;0
Maroilles, sans précision;1350;325;21,5;traces;26,4;< 0,2;< 0,2;0
Livarot;1250;301;24,1;traces;22,6;< 0,2;< 0,2;0
Époisses;1200;290;17,4;traces;24,5;< 0,03;< 0,03;0
Munster;1420;344;20,7;traces;29;0;-;0
Langres;1170;281;16,4;traces;23,8;< 0,2;< 0,2;0
Pont l'Évêque;1350;326;22,2;traces;26,2;< 0,2;< 0,2;0
Reblochon;1350;326;19,9;traces;27,4;0;< 0,02;0
Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané);1290;311;19,9;traces;25,7;traces;< 0,1;0
Saint-Marcellin;1160;280;14,8;traces;24,3;< 0,2;< 0,2;0
Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée;1380;332;17,8;traces;29;0;-;0
Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse);1250;302;18,5;traces;25,4;traces;< 0,1;0
Saint-Félicien;1160;281;13,1;traces;25,2;0;< 0,1;0
Boulette d'Avesne;1470;355;20,5;traces;30;traces;< 0,2;0
Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine);1340;324;20,3;traces;27;-;< 0,2;0
Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin);1240;300;19,4;traces;24,7;0;< 0,2;0
Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure);1310;315;20;traces;26,2;0;< 0,2;0
Sainte-Maure de Touraine (fromage de chèvre);1220;294;19,2;traces;24,2;-;< 0,02;0
Fromage de chèvre demi-sec;1460;353;21,1;traces;29,8;0;-;0
Fromage de chèvre bûche;1180;285;18,4;traces;23,3;traces;< 0,1;0
Fromage de chèvre bûche, allégé en matière grasse;747;179;22,1;traces;10;0;-;0
Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé;1160;279;19;traces;22,6;0;-;0
Fromage de chèvre sec;1830;440;29,9;traces;35,6;-;-;0
Fromage de chèvre à pâte molle et croûte fleurie type camembert;1210;292;19,4;traces;23,8;< 0,05;< 0,2;0
Fromage de brebis à pâte molle et croûte fleurie;1140;276;16,5;traces;23,3;-;-;0
Chabichou (fromage de chèvre);1220;294;20,1;traces;23,8;< 0,5;< 0,2;0
Pélardon (fromage de chèvre);1420;343;23,3;traces;27,8;0;< 0,2;0
Crottin de chèvre, au lait cru;1590;384;22,7;traces;32,6;-;< 0,2;0
Crottin de chèvre, sans précision;1410;340;21,9;traces;28;< 0,25;< 0,2;0
Crottin de Chavignol (fromage de chèvre);1230;296;19,3;traces;24,4;< 0,5;< 0,2;0
Picodon (fromage de chèvre);1310;315;20,3;traces;26;< 0,5;< 0,2;0
Pouligny Saint-Pierre (fromage de chèvre);1220;294;18,5;traces;24,5;-;< 0,2;0
Sainte-Maure (fromage de chèvre);1480;357;21,7;traces;30;< 0,25;< 0,2;0
Selles-sur-Cher (fromage de chèvre);1210;291;18,9;traces;23,9;-;< 0,02;0
Chevrot (fromage de chèvre);1150;277;18,1;traces;22,8;-;< 0,2;0
Rocamadour (fromage de chèvre);1140;274;17,5;traces;22,6;< 0,14;< 0,25;0
Valençay (fromage de chèvre);1270;306;18,9;traces;25,5;-;< 0,2;0
Roquefort;1590;384;19,1;traces;33,9;traces;< 0,1;0
Fourme de Montbrison;1510;365;22,1;traces;30,8;0;traces;0
Fromage bleu au lait de vache;1380;333;19,5;traces;28,3;< 0,25;< 0,2;0
Fromage bleu d'Auvergne;1420;343;22;traces;28,4;0;-;0
Fourme d'Ambert;1350;326;19,5;traces;27,6;0;-;0
Fromage bleu des Causses;1450;350;20;traces;30;0;-;0
Gorgonzola;1290;312;18,6;traces;26,4;< 0,3;-;0
Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC);1510;364;22,1;traces;30,7;traces;-;0
Fromage bleu de Bresse;1420;342;17;traces;30,5;0;-;0
Fromage bleu de Bresse allegé environ 15% MG;1020;246;26,5;traces;15,5;0;-;0
Fromage à pâte pressée cuite (aliment moyen);1620;390;27,4;0;30,8;0,0086;0,074;0
Beaufort;1700;410;26;traces;34;0;-;0
Comté;1730;418;26,7;traces;34,6;traces;< 0,3;0
Abondance;1630;393;26,6;traces;31,6;< 0,2;< 0,2;0
Gruyère IGP France;1640;396;26,7;traces;32;0;-;0
Gruyère;1760;423;27,9;traces;34,6;0;-;0
Emmental ou emmenthal;1550;373;27,3;traces;28,8;traces;< 0,1;0
Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse;1180;282;30;traces;18;0;-;0
Emmental ou emmenthal râpé;1530;367;27,5;traces;28,6;< 0,25;< 0,1;0
Ossau-Iraty;1770;428;23,8;traces;37;0;< 0,02;0
Parmesan;1690;406;30,5;traces;31;traces;< 0,1;0
Fontina;1580;381;25,1;traces;31,1;0;-;0
Pecorino;-;-;-;traces;28,8;0;-;0
Grana Padano;1650;396;33,4;traces;29,2;< 0,25;< 0,1;0
Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG;993;238;28,4;traces;13,8;0;-;0
Provolone;1410;340;25,1;traces;26,6;0;-;0
Fromage à pâte ferme, enrobé de cire;1260;303;21,3;traces;23,7;traces;< 0,1;0
Cantal entre-deux;1590;383;26,1;traces;30,5;traces;< 0,1;0
Cantal, Salers ou Laguiole;1570;378;24,8;traces;31;< 0,5;< 0,1;0
Salers;1610;388;25,4;traces;31,4;< 0,2;< 0,2;0
Cheddar;1650;399;23,6;traces;33,8;0;0;0
Edam;1370;329;25;traces;25,5;< 0,25;< 0,1;0
Mimolette jeune;1380;331;28,3;traces;24,2;0;-;0
Gouda;1550;374;22,8;traces;31,5;< 0,25;< 0,1;0
Mimolette demi-vieille;1520;365;30,8;traces;26,9;0;-;0
Mimolette vieille;1650;397;33,3;traces;28,8;< 0,2;< 0,2;0
Mimolette, sans précision;1280;308;24,4;traces;23,4;< 0,25;< 0,1;0
Fromage à pâte ferme environ 27% MG type Maasdam;1490;359;25;traces;28,4;traces;< 0,1;0
Mimolette extra-vieille;1610;387;33,2;traces;28,2;0;0;0
Morbier;1470;355;22,4;traces;29,2;traces;< 0,2;0
Fromage de brebis des Pyrénées;1640;397;23,6;traces;33,6;0;-;0
Saint-Nectaire, laitier;1380;332;22,3;traces;27;< 0,5;-;0
Raclette (fromage);1420;342;22,9;traces;27,5;traces;< 0,1;0
Saint-Nectaire, fermier;1470;355;21,8;traces;29,8;< 0,5;-;0
Saint-Nectaire, sans précision;1430;344;22;traces;28,4;< 0,5;< 0,2;0
Saint-Paulin (fromage à pâte pressée non cuite demi-ferme);1360;327;21,8;traces;26,4;traces;< 0,2;0
Tomme ou tome de vache;1450;350;21,1;traces;29,4;traces;< 0,1;0
Tomme ou tome de montagne ou de Savoie;1510;364;25;traces;29,1;< 0,2;< 0,2;0
Tomme ou tome, allégée en matière grasse, environ 13% MG;965;231;30,4;traces;12,1;0;-;0
Asiago;1480;356;31,4;traces;25,6;0;-;0
Fromage de brebis Corse à pâte molle;1900;457;27,9;traces;38,4;0;-;0
Tome des Bauges;1580;381;26,1;traces;30,8;0;< 0,02;0
Fromage de brebis à pâte pressée;1590;384;23,4;traces;32,3;0;-;0
Fromage de lactosérum de brebis;787;190;9,91;4,3;14,8;-;-;0
Fromage fondu en tranchettes;1020;246;13,8;5,34;18,5;4,95;< 0,1;0
Fromage fondu en portions ou en cubes environ 8% MG;-;-;11,3;-;7,48;-;< 0,2;0
Fromage fondu en portions ou en cubes environ 20% MG;1010;242;10,4;6,38;19,3;traces;< 0,1;0
Fromage fondu double crème, environ 31% MG;1280;311;8,88;1,78;29,6;1,78;< 0,1;0
Cancoillotte (spécialité fromagère fondue);630;151;13,6;0,5;10,5;traces;< 0,1;0
Spécialité fromagère fondante au fromage blanc et aux noix;-;-;10,4;4,2;31,6;2,67;-;0
Snack pour enfants à base de fromage fondu et de gressins;-;-;10,6;24,1;18,9;3,1;-;0
Fromage type feta, au lait de vache;1120;270;16;1,42;21,7;1,42;-;0
Fromage 100% brebis (Feta AOP ou type Feta);-;-;14,5;2,5;22,8;1,13;< 0,2;0
Fromage type feta, au lait de vache, à l'huile et aux aromates;1180;283;17,3;0,16;23,4;< 0,2;< 0,2;0
Feta AOP;1180;285;14,8;0,65;24,3;traces;< 0,2;0
Spécialité fromagère non affinée environ 25% MG, type fromage en barquette à tartiner ou coque fromagère;1060;255;5,25;4,24;23,9;2,82;< 0,1;0
Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère;-;-;7,49;1,4;21,2;1,4;< 0,2;0
Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche);-;-;15,8;2,08;20;2,08;< 0,2;0
Fromage de chèvre frais, au lait cru (type palet ou crottin frais);-;-;12,9;2,03;16,9;2,03;< 0,2;0
Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche);-;-;14,3;2,05;18,4;2,05;< 0,2;0
Fromage de chèvre à tartiner, nature;-;-;10,6;2,41;12,2;2,41;< 0,2;0
Spécialité fromagère non affinée à tartiner environ 30-40 % MG aromatisée (ex: ail et fines herbes);1510;366;7,5;4,24;35,3;1,86;< 0,1;0
Mascarpone;-;-;4,29;4;39;4;< 0,1;0
Ricotta;-;-;8,61;4;11,9;2,25;< 0,1;0
Mozzarella au lait de vache;943;227;16,1;0,75;17,7;0,7;< 0,1;0
Mozzarella au lait de bufflonne ou buflesse ('di bufala');1080;260;14,3;0,24;22,3;traces;< 0,2;0
Spécialité végétale type fromage à tartiner, au soja, préemballée;726;175;12,8;1,05;13,1;traces;< 0,1;0
Spécialité végétale type fromage, à la noix de cajou, préemballée;1830;441;14,5;15,2;35,3;0,28;< 0,1;0
Spécialité végétale type fromage en tranche ou râpé, sans soja, préemballée;1130;272;< 0,5;21,2;20,1;0,25;0,25;0
Crème de lait ou spécialité à base de crème légère, teneur en matière grasse inconnue (aliment moyen);1110;269;2,82;2,87;26;2,77;0,05;0
Crème de lait, 30% MG, épaisse, rayon frais;1250;304;2,94;2,8;30,7;2,66;< 0,1;0
Crème d'Isigny AOP, >= 35% MG;-;-;2,29;3;40;2,05;< 0,1;0
Crème de lait, 30% MG, semi-épaisse, UHT;1220;297;2,44;1,94;30,7;1,94;< 0,1;0
Crème chantilly, sous pression, UHT;1270;308;2,06;10,6;28,2;10,4;< 0,1;0
Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT;798;194;2,56;2,89;18,7;2,89;< 0,1;0
Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais;684;166;2,75;3;15,3;3;< 0,1;0
Spécialité à base de crème légère 8% MG, fluide ou épaisse;318;76,2;3,19;5,28;4,3;4,44;< 0,1;0
Crème de lait, 15 à 20% MG, légère, fluide, rayon frais;-;-;2,9;4,3;13,5;4,2;-;0
Eau de source, embouteillée (aliment moyen);0;0;0;0;0;0;;0
Eau minérale, embouteillée, faiblement minéralisée (aliment moyen);0;0;0;0;0;0;;0
Eau minérale (aliment moyen);0;0;0;0;0;0;;0
Eau minérale, plate (aliment moyen);0;0;0;0;0;0;;0
Eau minérale, gazeuse (aliment moyen);0;0;0;0;0;0;;0
Eau du robinet;0;0;0;0;0;0;0;0
Eau embouteillée de source;0;0;0;0;0;0;-;0
Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33);0;0;0;0;0;0;-;0
Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73);0;0;0;0;0;0;-;0
Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07);0;0;0;0;0;0;-;0
Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59);0;0;0;0;0;0;-;0
Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07);0;0;0;0;0;0;-;0
Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63);0;0;0;0;0;0;-;0
Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67);0;0;0;0;0;0;-;0
Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45);0;0;0;0;0;0;-;0
Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07);0;0;0;0;0;0;-;0
Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63);0;0;0;0;0;0;-;0
Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63);0;0;0;0;0;0;-;0
Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59);0;0;0;0;0;0;-;0
Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88);0;0;0;0;0;0;-;0
Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40);0;0;0;0;0;0;-;0
Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique);0;0;0;0;0;0;-;0
Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique);0;0;0;0;0;0;-;0
Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74);0;0;0;0;0;0;-;0
Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88);0;0;0;0;0;0;-;0
Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63);0;0;0;0;0;0;-;0
Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34);0;0;0;0;0;0;-;0
Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31);0;0;0;0;0;0;-;0
Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81);0;0;0;0;0;0;-;0
Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64);0;0;0;0;0;0;-;0
Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59);0;0;0;0;0;0;-;0
Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B);0;0;0;0;0;0;-;0
Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42);0;0;0;0;0;0;-;0
Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22);0;0;0;0;0;0;-;0
Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26);0;0;0;0;0;0;-;0
Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42);0;0;0;0;0;0;-;0
Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48);0;0;0;0;0;0;-;0
Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07);0;0;0;0;0;0;-;0
Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63);0;0;0;0;0;0;-;0
Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42);0;0;0;0;0;0;-;0
Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34);0;0;0;0;0;0;-;0
Eau minérale St-Amand, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (St-Amand, 59);0;0;0;0;0;0;-;0
Eau minérale St-Antonin, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82);0;0;0;0;0;0;-;0
Eau minérale St-Diéry, embouteillée, gazeuse, fortement minéralisée (St-Diéry, 63);0;0;0;0;0;0;-;0
